%
£s
0.2sec
0.3sec
0.4sec
0.5in
0.5sec
0-6-ost
0-level
1,000lb
100–200lbs
100–200ms
100-acre
100inch
100lb
100-metre
100metre
100-pound
10.11sec
10–11-year-olds
10½ins
10–13s
10–14-year-olds
10.19sec
10–20cms
10–20s
10.29sec
102in
1,047lb
10.6sec
109-set
10-billionth
10-compatible
10-footer
10in
10inch
10lb
10m-byte
10-mile
10-month
10sec
10-time
10-year-old
11–13-year-olds
11–15s
11-16-year-old
11–16-year-olds
1–11s
1½–2½-year-olds
11–28s
1½-hours
1½ins
1½lbs
11.2sec
11.3sec
11.56sec
11.5sec
116-mile
11.7sec
119-seat
11in
11inch
11lb
11oz
1.1sec
11-test
11-time
11-year
11-year-old
11–year-olds
120.5in
120lb
12½ins
12.1sec
12.2sec
12.4sec
126lb
12.8sec
12-bore
12-footer
12-in
12in
12-inch
12inch
12lb
12-mile
½miles
12oz
12-point
1–2s
12sec
12-stitch
12-string
12-year-old
12year-old
13.04sec
130lb
13.11sec
13.14sec
13–16-year-olds
133m-byte
13.9sec
1.3-gflop
13inch
13lb
13-mer
13oz
13sec
13-week
13-year-old
13-years-old
14½ins
14½-year-olds
14–17-year-olds
14–18-year-olds
14-29-year-old
14.3sec
14.8sec
14.9sec
14-day
14-hour
14in
14inch
¼ins
1.4-litre
14oz
14sec
14-year-old
14year-old
15-18-year-old
15–20-year-olds
15–24-year-olds
1–53s
154lb
156in
15in
15lb
15-mile
15oz
1–5s
15-scriptwriter
15sec
15-year-old
16–17-year-olds
16-18-year-old
16-18year-old
16–18-year-olds
16–19-year-olds
16–24-year-olds
163.2in
164-mile
166in
16-dollar
16in
16lb
16mile
16sec
1.6sec
16-tonne
16-valve
16-year-old
16year-old
174lb
17.7sec
17in
17sec
17-year-old
1,800lb
181in
18–30s
18–30-year-olds
18-34-year-old
1840s–1880s
1840s–70s
18.6-k
18in
18lb
18-month
18mths–2yrs
18-pluse
18sec
1.8sec
18-year
18-year-old
18year-old
190a–3s
19.2sec
1930s-doubt
1940s–1950s
1950–1970s
1950–80s
1950s–1980s
1950s–60s
196,000lb
1977-gidden
1987–figures
1990-91commitment
1992-ism
19lb
19sec
19-year-old
1in
